gene,type
ENSG00000007520,non-disease
ENSG00000007541,disease
ENSG00000007545,disease
ENSG00000007866,disease
ENSG00000007908,disease
ENSG00000007923,disease
ENSG00000007933,disease
ENSG00000007944,disease
ENSG00000007952,disease
ENSG00000007968,disease
ENSG00000008018,disease
ENSG00000008056,disease
ENSG00000008083,disease
ENSG00000008086,disease
ENSG00000008118,disease
ENSG00000008130,disease
ENSG00000008196,disease
ENSG00000008197,non-disease
ENSG00000008226,disease
ENSG00000008256,non-disease
ENSG00000008277,disease
ENSG00000008282,disease
ENSG00000008294,disease
ENSG00000008311,disease
ENSG00000008323,non-disease
ENSG00000008324,non-disease
ENSG00000008382,non-disease
ENSG00000008394,disease
ENSG00000008405,disease
ENSG00000008438,disease
ENSG00000008513,disease
ENSG00000008516,disease
ENSG00000008735,non-disease
ENSG00000008838,non-disease
ENSG00000008853,disease
ENSG00000008869,disease
ENSG00000008952,disease
ENSG00000008988,disease
ENSG00000009307,disease
ENSG00000009335,disease
ENSG00000009413,disease
ENSG00000009694,non-disease
ENSG00000009709,disease
ENSG00000009724,disease
ENSG00000009765,disease
ENSG00000009780,disease
ENSG00000009790,disease
ENSG00000009830,disease
ENSG00000009844,disease
ENSG00000009950,disease
ENSG00000009954,disease
ENSG00000010017,non-disease
ENSG00000010030,disease
ENSG00000010072,non-disease
ENSG00000010165,disease
ENSG00000010244,non-disease
ENSG00000010256,disease
ENSG00000010270,disease
ENSG00000010278,disease
ENSG00000010282,non-disease
ENSG00000010292,disease
ENSG00000010295,non-disease
ENSG00000010310,disease
ENSG00000010318,non-disease
ENSG00000010319,disease
ENSG00000010322,disease
ENSG00000010327,disease
ENSG00000010361,disease
ENSG00000010379,disease
ENSG00000010438,disease
ENSG00000010539,non-disease
ENSG00000010610,disease
ENSG00000010626,non-disease
ENSG00000010671,disease
ENSG00000010704,disease
ENSG00000010803,disease
ENSG00000010810,disease
ENSG00000010818,disease
ENSG00000010932,disease
ENSG00000011007,disease
ENSG00000011009,non-disease
ENSG00000011021,disease
ENSG00000011028,disease
ENSG00000011083,disease
ENSG00000011105,disease
ENSG00000011114,non-disease
ENSG00000011132,disease
ENSG00000011143,disease
ENSG00000011198,disease
ENSG00000011201,disease
ENSG00000011243,non-disease
ENSG00000011260,non-disease
ENSG00000011275,disease
ENSG00000011295,disease
ENSG00000011304,disease
ENSG00000011332,disease
ENSG00000011376,disease
ENSG00000011405,disease
ENSG00000011422,disease
ENSG00000011426,disease
ENSG00000011454,disease
ENSG00000011465,disease
ENSG00000011478,disease
ENSG00000011485,non-disease
ENSG00000011523,disease
ENSG00000011566,disease
ENSG00000011590,non-disease
ENSG00000011600,disease
ENSG00000011638,disease
ENSG00000011677,disease
ENSG00000012048,disease
ENSG00000012061,disease
ENSG00000012124,disease
ENSG00000012174,disease
ENSG00000012211,non-disease
ENSG00000012223,disease
ENSG00000012232,non-disease
ENSG00000012504,disease
ENSG00000012779,disease
ENSG00000012822,disease
ENSG00000012983,disease
ENSG00000013016,disease
ENSG00000013288,disease
ENSG00000013293,disease
ENSG00000013297,disease
ENSG00000013306,disease
ENSG00000013364,non-disease
ENSG00000013374,non-disease
ENSG00000013375,disease
ENSG00000013392,non-disease
ENSG00000013441,disease
ENSG00000013503,disease
ENSG00000013523,disease
ENSG00000013561,disease
ENSG00000013563,disease
ENSG00000013583,disease
ENSG00000013588,disease
ENSG00000013619,disease
ENSG00000013725,disease
ENSG00000013810,disease
ENSG00000014123,non-disease
ENSG00000014138,disease
ENSG00000014164,disease
ENSG00000014216,non-disease
ENSG00000014257,disease
ENSG00000014824,disease
ENSG00000014914,disease
ENSG00000014919,disease
ENSG00000015133,disease
ENSG00000015153,disease
ENSG00000015285,disease
ENSG00000015413,disease
ENSG00000015475,disease
ENSG00000015520,disease
ENSG00000015532,disease
ENSG00000015592,non-disease
ENSG00000015676,disease
ENSG00000016082,disease
ENSG00000016391,disease
ENSG00000016402,disease
ENSG00000016490,disease
ENSG00000016602,non-disease
ENSG00000016864,non-disease
ENSG00000017260,disease
ENSG00000017427,disease
ENSG00000017483,non-disease
ENSG00000017797,disease
ENSG00000018189,disease
ENSG00000018236,disease
ENSG00000018280,disease
ENSG00000018408,disease
ENSG00000018510,disease
ENSG00000018610,non-disease
ENSG00000018699,disease
ENSG00000018869,non-disease
ENSG00000019102,disease
ENSG00000019144,disease
ENSG00000019169,disease
ENSG00000019186,disease
ENSG00000019505,disease
ENSG00000019582,disease
ENSG00000019991,disease
ENSG00000019995,disease
ENSG00000020129,non-disease
ENSG00000020181,disease
ENSG00000020256,disease
ENSG00000020577,disease
ENSG00000020633,disease
ENSG00000020922,disease
ENSG00000021300,disease
ENSG00000021355,disease
ENSG00000021461,disease
ENSG00000021488,disease
ENSG00000021574,disease
ENSG00000021645,disease
ENSG00000021762,disease
ENSG00000021852,disease
ENSG00000022277,non-disease
ENSG00000022355,disease
ENSG00000022567,disease
ENSG00000022840,non-disease
ENSG00000022976,non-disease
ENSG00000023041,disease
ENSG00000023191,disease
ENSG00000023228,disease
ENSG00000023287,disease
ENSG00000023318,disease
ENSG00000023330,disease
ENSG00000023445,disease
ENSG00000023516,disease
ENSG00000023572,disease
ENSG00000023608,non-disease
ENSG00000023697,disease
ENSG00000023734,non-disease
ENSG00000023839,disease
ENSG00000023892,disease
ENSG00000023902,non-disease
ENSG00000023909,disease
ENSG00000024048,disease
ENSG00000024422,non-disease
ENSG00000024526,disease
ENSG00000024862,non-disease
ENSG00000025039,disease
ENSG00000025156,disease
ENSG00000025293,disease
ENSG00000025423,disease
ENSG00000025434,disease
ENSG00000025708,disease
ENSG00000025770,disease
ENSG00000025772,disease
ENSG00000025796,disease
ENSG00000026025,disease
ENSG00000026508,disease
ENSG00000026559,non-disease
ENSG00000026652,disease
ENSG00000026751,disease
ENSG00000027001,disease
ENSG00000027075,disease
ENSG00000027644,disease
ENSG00000027697,disease
ENSG00000027847,disease
ENSG00000027869,disease
ENSG00000028116,disease
ENSG00000028137,disease
ENSG00000028203,disease
ENSG00000028277,disease
ENSG00000028528,non-disease
ENSG00000029153,disease
ENSG00000029363,disease
ENSG00000029364,disease
ENSG00000029534,disease
ENSG00000029559,disease
ENSG00000029639,disease
ENSG00000029993,non-disease
ENSG00000030066,disease
ENSG00000030110,disease
ENSG00000030304,disease
ENSG00000030419,disease
ENSG00000030582,disease
ENSG00000031003,non-disease
ENSG00000031081,disease
ENSG00000031691,disease
ENSG00000031698,disease
ENSG00000031823,non-disease
ENSG00000032219,non-disease
ENSG00000032389,disease
ENSG00000032444,disease
ENSG00000032742,disease
ENSG00000033030,non-disease
ENSG00000033050,disease
ENSG00000033100,non-disease
ENSG00000033122,disease
ENSG00000033170,disease
ENSG00000033178,disease
ENSG00000033327,disease
ENSG00000033627,disease
ENSG00000033867,disease
ENSG00000034053,disease
ENSG00000034152,disease
ENSG00000034239,disease
ENSG00000034533,non-disease
ENSG00000034677,disease
ENSG00000034693,disease
ENSG00000034971,disease
ENSG00000035115,disease
ENSG00000035403,disease
ENSG00000035499,non-disease
ENSG00000035664,non-disease
ENSG00000035681,disease
ENSG00000035687,disease
ENSG00000035720,disease
ENSG00000035862,disease
ENSG00000035928,disease
ENSG00000036054,non-disease
ENSG00000036257,disease
ENSG00000036448,disease
ENSG00000036473,disease
ENSG00000036530,disease
ENSG00000036549,non-disease
ENSG00000036565,disease
ENSG00000036672,disease
ENSG00000036828,disease
ENSG00000037042,disease
ENSG00000037280,disease
ENSG00000037474,disease
ENSG00000037637,non-disease
ENSG00000037749,disease
ENSG00000037757,non-disease
ENSG00000037897,disease
ENSG00000038002,disease
ENSG00000038219,non-disease
ENSG00000038274,disease
ENSG00000038295,disease
ENSG00000038358,disease
ENSG00000038382,disease
ENSG00000038427,disease
ENSG00000038945,disease
ENSG00000039068,disease
ENSG00000039123,disease
ENSG00000039139,disease
ENSG00000039319,disease
ENSG00000039523,non-disease
ENSG00000039537,disease
ENSG00000039560,disease
ENSG00000039600,disease
ENSG00000039650,disease
ENSG00000039987,non-disease
ENSG00000040199,disease
ENSG00000040275,non-disease
ENSG00000040341,disease
ENSG00000040487,non-disease
ENSG00000040531,disease
ENSG00000040608,disease
ENSG00000040633,disease
ENSG00000040731,disease
ENSG00000040933,disease
ENSG00000041353,disease
ENSG00000041357,disease
ENSG00000041515,disease
ENSG00000041802,non-disease
ENSG00000041880,disease
ENSG00000041982,disease
ENSG00000041988,disease
ENSG00000042088,disease
ENSG00000042286,disease
ENSG00000042317,disease
ENSG00000042429,disease
ENSG00000042445,disease
ENSG00000042493,disease
ENSG00000042781,disease
ENSG00000042813,non-disease
ENSG00000042832,disease
ENSG00000042980,disease
ENSG00000043039,disease
ENSG00000043093,disease
ENSG00000043143,disease
ENSG00000043355,disease
ENSG00000043462,disease
ENSG00000043514,disease
ENSG00000043591,disease
ENSG00000044012,disease
ENSG00000044446,disease
ENSG00000044459,disease
ENSG00000044524,disease
ENSG00000044574,disease
ENSG00000046604,disease
ENSG00000046647,non-disease
ENSG00000046651,disease
ENSG00000046653,disease
ENSG00000046774,disease
ENSG00000046889,disease
ENSG00000047056,disease
ENSG00000047188,disease
ENSG00000047230,non-disease
ENSG00000047249,non-disease
ENSG00000047315,disease
ENSG00000047365,disease
ENSG00000047410,non-disease
ENSG00000047457,disease
ENSG00000047578,non-disease
ENSG00000047579,disease
ENSG00000047597,disease
ENSG00000047634,non-disease
ENSG00000047644,disease
ENSG00000047648,disease
ENSG00000047662,disease
ENSG00000047849,disease
ENSG00000047936,disease
ENSG00000048028,non-disease
ENSG00000048052,disease
ENSG00000048140,non-disease
ENSG00000048162,non-disease
ENSG00000048342,disease
ENSG00000048392,disease
ENSG00000048405,disease
ENSG00000048462,disease
ENSG00000048471,disease
ENSG00000048544,disease
ENSG00000048545,disease
ENSG00000048649,non-disease
ENSG00000048707,disease
ENSG00000048828,disease
ENSG00000048991,disease
ENSG00000049089,disease
ENSG00000049130,disease
ENSG00000049167,disease
ENSG00000049192,disease
ENSG00000049239,disease
ENSG00000049245,disease
ENSG00000049246,disease
ENSG00000049247,disease
ENSG00000049249,disease
ENSG00000049323,disease
ENSG00000049449,disease
ENSG00000049540,disease
ENSG00000049541,disease
ENSG00000049618,disease
ENSG00000049656,disease
ENSG00000049759,disease
ENSG00000049768,disease
ENSG00000049769,disease
ENSG00000049860,disease
ENSG00000049883,disease
ENSG00000050030,non-disease
ENSG00000050130,disease
ENSG00000050165,disease
ENSG00000050327,disease
ENSG00000050344,disease
ENSG00000050393,non-disease
ENSG00000050405,disease
ENSG00000050426,disease
ENSG00000050438,non-disease
ENSG00000050555,disease
ENSG00000050628,disease
ENSG00000050730,disease
ENSG00000050748,disease
ENSG00000050767,disease
ENSG00000050820,disease
ENSG00000051009,non-disease
ENSG00000051108,disease
ENSG00000051128,disease
ENSG00000051180,disease
ENSG00000051341,disease
ENSG00000051382,disease
ENSG00000051523,disease
ENSG00000051596,non-disease
ENSG00000051620,non-disease
ENSG00000052126,disease
ENSG00000052344,disease
ENSG00000052723,non-disease
ENSG00000052749,disease
ENSG00000052795,disease
ENSG00000052802,non-disease
ENSG00000052841,disease
ENSG00000052850,disease
ENSG00000053108,disease
ENSG00000053254,disease
ENSG00000053328,non-disease
ENSG00000053371,disease
ENSG00000053438,non-disease
ENSG00000053501,non-disease
ENSG00000053524,disease
ENSG00000053702,disease
ENSG00000053747,disease
ENSG00000053770,non-disease
ENSG00000053900,disease
ENSG00000053918,disease
ENSG00000054116,non-disease
ENSG00000054118,non-disease
ENSG00000054148,non-disease
ENSG00000054179,non-disease
ENSG00000054267,disease
ENSG00000054277,disease
ENSG00000054282,disease
ENSG00000054392,disease
ENSG00000054523,disease
ENSG00000054611,disease
ENSG00000054654,disease
ENSG00000054690,non-disease
ENSG00000054793,disease
ENSG00000054796,disease
ENSG00000054803,disease
ENSG00000054938,disease
ENSG00000054965,non-disease
ENSG00000054967,non-disease
ENSG00000054983,disease
ENSG00000055044,non-disease
ENSG00000055118,disease
ENSG00000055130,disease
ENSG00000055147,non-disease
ENSG00000055163,disease
ENSG00000055208,disease
ENSG00000055211,non-disease
ENSG00000055332,disease
ENSG00000055483,disease
ENSG00000055609,disease
ENSG00000055732,non-disease
ENSG00000055813,disease
ENSG00000055917,disease
ENSG00000055950,disease
ENSG00000055955,disease
ENSG00000055957,disease
ENSG00000056050,non-disease
ENSG00000056097,non-disease
ENSG00000056277,non-disease
ENSG00000056291,disease
ENSG00000056487,disease
ENSG00000056558,disease
ENSG00000056586,non-disease
ENSG00000056736,disease
ENSG00000056972,disease
ENSG00000056998,non-disease
ENSG00000057019,disease
ENSG00000057252,disease
ENSG00000057294,disease
ENSG00000057468,disease
ENSG00000057593,disease
ENSG00000057608,disease
ENSG00000057657,disease
ENSG00000057663,disease
ENSG00000057704,disease
ENSG00000057757,non-disease
ENSG00000057935,disease
ENSG00000058056,disease
ENSG00000058063,non-disease
ENSG00000058085,disease
ENSG00000058091,disease
ENSG00000058262,non-disease
ENSG00000058272,disease
ENSG00000058335,disease
ENSG00000058404,disease
ENSG00000058453,non-disease
ENSG00000058600,non-disease
ENSG00000058668,disease
ENSG00000058673,disease
ENSG00000058729,disease
ENSG00000058804,non-disease
ENSG00000058866,disease
ENSG00000059122,non-disease
ENSG00000059377,disease
ENSG00000059378,disease
ENSG00000059573,disease
ENSG00000059588,disease
ENSG00000059691,non-disease
ENSG00000059728,disease
ENSG00000059758,disease
ENSG00000059769,non-disease
ENSG00000059915,disease
ENSG00000060069,disease
ENSG00000060138,non-disease
ENSG00000060140,disease
ENSG00000060237,disease
ENSG00000060339,disease
ENSG00000060491,non-disease
ENSG00000060558,disease
ENSG00000060566,disease
ENSG00000060642,disease
ENSG00000060656,disease
ENSG00000060709,disease
ENSG00000060718,disease
ENSG00000060749,disease
ENSG00000060762,disease
ENSG00000060971,disease
ENSG00000061273,disease
ENSG00000061337,disease
ENSG00000061455,disease
ENSG00000061492,disease
ENSG00000061656,non-disease
ENSG00000061794,disease
ENSG00000061918,non-disease
ENSG00000061938,non-disease
ENSG00000061987,non-disease
ENSG00000062038,disease
ENSG00000062096,non-disease
ENSG00000062194,disease
ENSG00000062282,disease
ENSG00000062485,disease
ENSG00000062524,disease
ENSG00000062582,disease
ENSG00000062598,disease
ENSG00000062650,disease
ENSG00000062716,non-disease
ENSG00000062725,disease
ENSG00000062822,disease
ENSG00000063015,non-disease
ENSG00000063046,non-disease
ENSG00000063127,non-disease
ENSG00000063169,disease
ENSG00000063176,non-disease
ENSG00000063180,non-disease
ENSG00000063241,non-disease
ENSG00000063244,non-disease
ENSG00000063245,non-disease
ENSG00000063322,non-disease
ENSG00000063438,disease
ENSG00000063515,disease
ENSG00000063587,disease
ENSG00000063601,non-disease
ENSG00000063660,disease
ENSG00000063761,disease
ENSG00000063854,disease
ENSG00000063978,disease
ENSG00000064012,disease
ENSG00000064042,disease
ENSG00000064102,non-disease
ENSG00000064115,disease
ENSG00000064199,disease
ENSG00000064201,non-disease
ENSG00000064205,disease
ENSG00000064218,disease
ENSG00000064225,disease
ENSG00000064270,disease
ENSG00000064300,disease
ENSG00000064309,disease
ENSG00000064313,non-disease
ENSG00000064393,disease
ENSG00000064419,disease
ENSG00000064490,disease
ENSG00000064545,disease
ENSG00000064547,non-disease
ENSG00000064601,disease
ENSG00000064607,non-disease
ENSG00000064651,disease
ENSG00000064652,disease
ENSG00000064655,disease
ENSG00000064687,disease
ENSG00000064692,disease
ENSG00000064703,disease
ENSG00000064726,disease
ENSG00000064787,disease
ENSG00000064835,disease
ENSG00000064886,disease
ENSG00000064932,disease
ENSG00000064933,disease
ENSG00000064961,non-disease
ENSG00000064989,disease
ENSG00000064995,disease
ENSG00000064999,disease
ENSG00000065000,disease
ENSG00000065029,disease
ENSG00000065054,non-disease
ENSG00000065057,disease
ENSG00000065060,disease
ENSG00000065150,disease
ENSG00000065154,disease
ENSG00000065183,disease
ENSG00000065243,disease
ENSG00000065268,non-disease
ENSG00000065308,disease
ENSG00000065320,disease
ENSG00000065325,disease
ENSG00000065328,disease
ENSG00000065357,non-disease
ENSG00000065361,disease
ENSG00000065371,disease
ENSG00000065413,disease
ENSG00000065427,disease
ENSG00000065457,disease
ENSG00000065485,disease
ENSG00000065491,disease
ENSG00000065518,disease
ENSG00000065526,disease
ENSG00000065534,disease
ENSG00000065548,non-disease
ENSG00000065559,disease
ENSG00000065609,disease
ENSG00000065613,disease
ENSG00000065615,disease
ENSG00000065618,disease
ENSG00000065621,disease
ENSG00000065675,disease
ENSG00000065717,disease
ENSG00000065802,disease
ENSG00000065809,disease
ENSG00000065833,disease
ENSG00000065882,disease
ENSG00000065883,non-disease
ENSG00000065911,disease
ENSG00000065970,disease
ENSG00000065989,disease
ENSG00000066044,disease
ENSG00000066056,disease
ENSG00000066084,disease
ENSG00000066135,disease
ENSG00000066185,non-disease
ENSG00000066230,disease
ENSG00000066248,disease
ENSG00000066279,disease
ENSG00000066294,non-disease
ENSG00000066322,non-disease
ENSG00000066336,disease
ENSG00000066379,disease
ENSG00000066405,non-disease
ENSG00000066422,non-disease
ENSG00000066455,disease
ENSG00000066468,disease
ENSG00000066557,non-disease
ENSG00000066583,disease
ENSG00000066651,disease
ENSG00000066654,non-disease
ENSG00000066735,disease
ENSG00000066739,disease
ENSG00000066777,disease
ENSG00000066827,disease
ENSG00000066855,disease
ENSG00000066923,disease
ENSG00000066926,disease
ENSG00000066933,disease
ENSG00000067048,non-disease
ENSG00000067057,disease
ENSG00000067064,disease
ENSG00000067066,disease
ENSG00000067082,disease
ENSG00000067113,disease
ENSG00000067141,disease
ENSG00000067167,disease
ENSG00000067177,disease
ENSG00000067182,disease
ENSG00000067191,non-disease
ENSG00000067221,non-disease
ENSG00000067248,disease
ENSG00000067334,disease
ENSG00000067365,non-disease
ENSG00000067369,disease
ENSG00000067445,non-disease
ENSG00000067533,non-disease
ENSG00000067606,disease
ENSG00000067646,non-disease
ENSG00000067704,disease
ENSG00000067715,disease
ENSG00000067829,non-disease
ENSG00000067836,disease
ENSG00000067840,non-disease
ENSG00000067842,disease
ENSG00000067900,disease
ENSG00000067992,non-disease
ENSG00000068001,non-disease
ENSG00000068028,disease
ENSG00000068078,disease
ENSG00000068079,disease
ENSG00000068097,non-disease
ENSG00000068120,disease
ENSG00000068137,non-disease
ENSG00000068305,disease
ENSG00000068308,non-disease
ENSG00000068323,disease
ENSG00000068354,non-disease
ENSG00000068366,disease
ENSG00000068383,non-disease
ENSG00000068394,non-disease
ENSG00000068400,non-disease
ENSG00000068438,disease
ENSG00000068489,non-disease
ENSG00000068650,disease
ENSG00000068654,disease
ENSG00000068697,disease
ENSG00000068724,disease
ENSG00000068745,non-disease
ENSG00000068784,disease
ENSG00000068796,disease
ENSG00000068831,disease
ENSG00000068878,disease
ENSG00000068885,disease
ENSG00000068903,non-disease
ENSG00000068912,non-disease
ENSG00000068971,non-disease
ENSG00000068976,disease
ENSG00000068985,non-disease
ENSG00000069011,disease
ENSG00000069018,disease
ENSG00000069020,disease
ENSG00000069122,disease
ENSG00000069188,disease
ENSG00000069206,disease
ENSG00000069248,disease
ENSG00000069329,disease
ENSG00000069399,disease
ENSG00000069424,non-disease
ENSG00000069431,disease
ENSG00000069482,disease
ENSG00000069493,disease
ENSG00000069535,disease
ENSG00000069667,disease
ENSG00000069696,disease
ENSG00000069702,disease
ENSG00000069712,non-disease
ENSG00000069764,disease
ENSG00000069812,non-disease
ENSG00000069849,non-disease
ENSG00000069869,disease
ENSG00000069943,disease
ENSG00000069956,disease
ENSG00000069966,disease
ENSG00000069974,disease
ENSG00000069998,disease
ENSG00000070010,disease
ENSG00000070018,disease
ENSG00000070019,disease
ENSG00000070031,disease
ENSG00000070047,disease
ENSG00000070061,disease
ENSG00000070081,disease
ENSG00000070159,disease
ENSG00000070182,disease
ENSG00000070190,non-disease
ENSG00000070193,disease
ENSG00000070214,disease
ENSG00000070269,non-disease
ENSG00000070366,disease
ENSG00000070367,disease
ENSG00000070388,non-disease
ENSG00000070404,non-disease
ENSG00000070413,disease
ENSG00000070423,non-disease
ENSG00000070444,non-disease
ENSG00000070476,disease
ENSG00000070495,non-disease
ENSG00000070501,disease
ENSG00000070526,disease
ENSG00000070540,disease
ENSG00000070601,disease
ENSG00000070614,disease
ENSG00000070669,non-disease
ENSG00000070718,disease
ENSG00000070729,disease
ENSG00000070731,disease
ENSG00000070748,disease
ENSG00000070759,non-disease
ENSG00000070770,disease
ENSG00000070778,disease
ENSG00000070785,disease
ENSG00000070814,disease
ENSG00000070882,disease
ENSG00000070886,disease
ENSG00000070915,disease
ENSG00000070950,disease
ENSG00000070985,disease
ENSG00000071051,disease
ENSG00000071054,non-disease
ENSG00000071073,disease
ENSG00000071127,disease
ENSG00000071189,disease
ENSG00000071205,disease
ENSG00000071242,disease
ENSG00000071243,disease
ENSG00000071246,non-disease
ENSG00000071282,disease
ENSG00000071462,non-disease
ENSG00000071537,disease
ENSG00000071539,non-disease
ENSG00000071553,disease
ENSG00000071564,non-disease
ENSG00000071575,disease
ENSG00000071655,non-disease
ENSG00000071677,non-disease
ENSG00000071794,non-disease
ENSG00000071859,disease
ENSG00000071889,non-disease
ENSG00000071894,non-disease
ENSG00000071909,disease
ENSG00000071967,disease
ENSG00000071991,disease
ENSG00000072041,non-disease
ENSG00000072042,non-disease
ENSG00000072062,disease
ENSG00000072071,disease
ENSG00000072080,disease
ENSG00000072110,disease
ENSG00000072121,disease
ENSG00000072133,disease
ENSG00000072134,disease
ENSG00000072135,non-disease
ENSG00000072163,non-disease
ENSG00000072182,non-disease
ENSG00000072195,disease
ENSG00000072201,disease
ENSG00000072210,disease
ENSG00000072274,disease
ENSG00000072310,disease
ENSG00000072315,disease
ENSG00000072364,disease
ENSG00000072415,non-disease
ENSG00000072422,disease
ENSG00000072501,disease
ENSG00000072506,disease
ENSG00000072518,disease
ENSG00000072571,disease
ENSG00000072609,disease
ENSG00000072657,disease
ENSG00000072682,disease
ENSG00000072694,disease
ENSG00000072756,disease
ENSG00000072803,disease
ENSG00000072818,disease
ENSG00000072832,disease
ENSG00000072840,disease
ENSG00000072849,non-disease
ENSG00000072858,disease
ENSG00000072864,disease
ENSG00000072952,disease
ENSG00000072954,disease
ENSG00000072958,disease
ENSG00000073008,disease
ENSG00000073050,disease
ENSG00000073060,disease
ENSG00000073067,disease
ENSG00000073146,disease
ENSG00000073150,disease
ENSG00000073169,non-disease
ENSG00000073282,disease
ENSG00000073331,disease
ENSG00000073350,disease
ENSG00000073417,disease
ENSG00000073464,disease
ENSG00000073536,non-disease
ENSG00000073578,disease
ENSG00000073584,disease
ENSG00000073598,disease
ENSG00000073605,disease
ENSG00000073614,non-disease
ENSG00000073670,disease
ENSG00000073711,disease
ENSG00000073712,non-disease
ENSG00000073734,disease
ENSG00000073737,non-disease
ENSG00000073754,disease
ENSG00000073756,disease
ENSG00000073792,disease
ENSG00000073803,disease
ENSG00000073849,disease
ENSG00000073861,disease
ENSG00000073910,disease
ENSG00000073921,disease
ENSG00000073969,disease
ENSG00000074047,disease
ENSG00000074054,disease
ENSG00000074071,disease
ENSG00000074181,disease
ENSG00000074201,disease
ENSG00000074211,disease
ENSG00000074219,disease
ENSG00000074276,non-disease
ENSG00000074319,disease
ENSG00000074356,non-disease
ENSG00000074370,disease
ENSG00000074410,disease
ENSG00000074416,disease
ENSG00000074527,disease
ENSG00000074582,disease
ENSG00000074590,disease
ENSG00000074603,non-disease
ENSG00000074621,disease
ENSG00000074657,disease
ENSG00000074660,disease
