Gene	Symbol	Uniprot	Gene Name	Pathway	Protein Class	DSI	DPI	# Of Diseases	Gene	Source	Gene	Source	Gene	# Of SNPs	Source	gene	# Of Genes	Source	gene	Source
5290	PIK3CA	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha	Cell-Cell communication; Hemostasis; Immune System; Metabolism; Signal Transduction	transferase; kinase	0.352593192018553	0.888888888888889	536	5290	ALL	5290	ALL	5290	47	ALL	5290	14023	ALL	5290	ALL
5054	SERPINE1	P05121	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	Circadian Clock; Extracellular matrix organization; Gene Expression; Hemostasis; Signal Transduction	enzyme modulator	0.363021328264202	0.888888888888889	530	5054	ALL	5054	ALL	5054	36	ALL	5054	13999	ALL	5054	ALL
595	CCND1	P24385	cyclin D1	Cell Cycle; Chromatin organization; Signal Transduction	enzyme modulator	0.349978795913848	0.851851851851852	530	595	ALL	595	ALL	595	17	ALL	595	13101	ALL	595	ALL
3558	IL2	P60568	interleukin 2	Developmental Biology; Hemostasis; Immune System; Signal Transduction	signaling molecule	0.357331115330533	0.962962962962963	528	3558	ALL	3558	ALL	3558	30	ALL	3558	14141	ALL	3558	ALL
2952	GSTT1	P30711	glutathione S-transferase theta 1	Metabolism	oxidoreductase; signaling molecule; cytoskeletal protein; transferase; isomerase; nucleic acid binding	0.362051287623522	0.962962962962963	526	2952	ALL	2952	ALL	2952	53	ALL	2952	15198	ALL	2952	ALL
4313	MMP2	P08253	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	Developmental Biology; Extracellular matrix organization; Metabolism of proteins	null	0.359428977277588	0.888888888888889	525	4313	ALL	4313	ALL	4313	35	ALL	4313	13845	ALL	4313	ALL
367	AR	P10275	androgen receptor	Gene Expression; Signal Transduction	transcription factor; receptor; nucleic acid binding	0.360137682909904	0.851851851851852	510	367	ALL	367	ALL	367	49	ALL	367	14047	ALL	367	ALL
4790	NFKB1	P19838	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	Cellular responses to stress; Developmental Biology; Immune System; Signal Transduction	transcription factor	0.3613295930123	0.925925925925926	505	4790	ALL	4790	ALL	4790	66	ALL	4790	15132	ALL	4790	ALL
6774	STAT3	P40763	signal transducer and activator of transcription 3 (acute-phase response factor)	Cellular responses to stress; Developmental Biology; Immune System; Signal Transduction	transcription factor; nucleic acid binding	0.363265245104634	0.888888888888889	495	6774	ALL	6774	ALL	6774	29	ALL	6774	14701	ALL	6774	ALL
3845	KRAS	P01116	Kirsten rat sarcoma viral oncogene homolog	Developmental Biology; Hemostasis; Immune System; Signal Transduction	enzyme modulator	0.362777976700849	0.814814814814815	489	3845	ALL	3845	ALL	3845	51	ALL	3845	12535	ALL	3845	ALL
4846	NOS3	P29474	nitric oxide synthase 3 (endothelial cell)	Hemostasis; Immune System; Metabolism; Signal Transduction	null	0.377916691755542	0.925925925925926	485	4846	ALL	4846	ALL	4846	31	ALL	4846	14132	ALL	4846	ALL
207	AKT1	P31749	v-akt murine thymoma viral oncogene homolog 1	Developmental Biology; Gene Expression; Hemostasis; Immune System; Metabolism; Programmed Cell Death; Signal Transduction; Ve...	transfer/carrier protein; transferase; calcium-binding protein; kinase	0.364988714199612	0.851851851851852	484	207	ALL	207	ALL	207	12	ALL	207	14190	ALL	207	ALL
3091	HIF1A	Q16665	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	Cellular responses to stress; Circadian Clock; Signal Transduction	transcription factor; nucleic acid binding	0.368266483284355	0.851851851851852	477	3091	ALL	3091	ALL	3091	6	ALL	3091	13755	ALL	3091	ALL
5243	ABCB1	P08183	ATP-binding cassette, sub-family B (MDR/TAP), member 1	Metabolism; Transmembrane transport of small molecules	transporter	0.370074751999555	0.925925925925926	469	5243	ALL	5243	ALL	5243	33	ALL	5243	15024	ALL	5243	ALL
5468	PPARG	P37231	peroxisome proliferator-activated receptor gamma	Developmental Biology; Gene Expression; Metabolism	transcription factor; receptor; nucleic acid binding	0.375969502004737	0.888888888888889	467	5468	ALL	5468	ALL	5468	105	ALL	5468	15115	ALL	5468	ALL
673	BRAF	P15056	B-Raf proto-oncogene, serine/threonine kinase	Developmental Biology; Immune System; Neuronal System; Signal Transduction	transferase; kinase	0.366237315743258	0.851851851851852	467	673	ALL	673	ALL	673	70	ALL	673	13270	ALL	673	ALL
3105	HLA-A	P30443;P01892;P04439;P30450;P01891	major histocompatibility complex, class I, A	Immune System	defense/immunity protein; receptor	0.368779961826319	0.888888888888889	456	3105	ALL	3105	ALL	3105	14	ALL	3105	13842	ALL	3105	ALL
3383	ICAM1	P05362	intercellular adhesion molecule 1	Extracellular matrix organization; Immune System	cell adhesion molecule; signaling molecule	0.373248983192143	1.0	456	3383	ALL	3383	ALL	3383	12	ALL	3383	14301	ALL	3383	ALL
4153	MBL2	P11226	mannose-binding lectin (protein C) 2, soluble	Immune System	defense/immunity protein	0.374328747488742	0.925925925925926	453	4153	ALL	4153	ALL	4153	16	ALL	4153	13505	ALL	4153	ALL
2950	GSTP1	P09211	glutathione S-transferase pi 1	Cellular responses to stress; Metabolism	null	0.3796149414813	0.888888888888889	451	2950	ALL	2950	ALL	2950	59	ALL	2950	14934	ALL	2950	ALL
183	AGT	P01019	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	Metabolism; Metabolism of proteins; Signal Transduction	enzyme modulator	0.383096127221508	0.925925925925926	449	183	ALL	183	ALL	183	35	ALL	183	13584	ALL	183	ALL
3119	HLA-DQB1	P01920	major histocompatibility complex, class II, DQ beta 1	Immune System	defense/immunity protein	0.372980768097172	1.0	445	3119	ALL	3119	ALL	3119	87	ALL	3119	13458	ALL	3119	ALL
4843	NOS2	P35228	nitric oxide synthase 2, inducible	Hemostasis; Immune System	null	0.379900672685059	0.962962962962963	438	4843	ALL	4843	ALL	4843	34	ALL	4843	14282	ALL	4843	ALL
1401	CRP	P02741	C-reactive protein, pentraxin-related	Immune System	defense/immunity protein	0.381341108888072	0.962962962962963	437	1401	ALL	1401	ALL	1401	45	ALL	1401	13487	ALL	1401	ALL
7097	TLR2	O60603	toll-like receptor 2	Immune System	extracellular matrix protein; receptor	0.375419730316487	0.962962962962963	434	7097	ALL	7097	ALL	7097	68	ALL	7097	14189	ALL	7097	ALL
1950	EGF	P01133	epidermal growth factor	Developmental Biology; Hemostasis; Immune System; Signal Transduction	extracellular matrix protein; receptor	0.373787477462481	0.925925925925926	433	1950	ALL	1950	ALL	1950	20	ALL	1950	14619	ALL	1950	ALL
627	BDNF	P23560	brain-derived neurotrophic factor	null	signaling molecule	0.386087957879227	0.851851851851852	430	627	ALL	627	ALL	627	50	ALL	627	14628	ALL	627	ALL
3133	HLA-E	P13747	major histocompatibility complex, class I, E	Immune System	defense/immunity protein; receptor	0.374872822035427	0.925925925925926	429	3133	ALL	3133	ALL	3133	17	ALL	3133	13812	ALL	3133	ALL
4609	MYC	P01106	v-myc avian myelocytomatosis viral oncogene homolog	Cell Cycle; Gene Expression; Signal Transduction	transcription factor; nucleic acid binding	0.375419730316487	0.851851851851852	424	4609	ALL	4609	ALL	4609	21	ALL	4609	12899	ALL	4609	ALL
3082	HGF	P14210	hepatocyte growth factor (hepapoietin A; scatter factor)	Hemostasis; Immune System	protease; enzyme modulator; hydrolase; signaling molecule; calcium-binding protein; receptor	0.381631582524449	0.814814814814815	421	3082	ALL	3082	ALL	3082	10	ALL	3082	13761	ALL	3082	ALL
3106	HLA-B	P01889;P30466	major histocompatibility complex, class I, B	Immune System	null	0.377916691755542	0.925925925925926	419	3106	ALL	3106	ALL	3106	19	ALL	3106	13530	ALL	3106	ALL
3606	IL18	Q14116	interleukin 18	Immune System	null	0.386087957879227	1.0	417	3606	ALL	3606	ALL	3606	21	ALL	3606	13799	ALL	3606	ALL
6696	SPP1	P10451	secreted phosphoprotein 1	Extracellular matrix organization; Signal Transduction	null	0.381051436559296	0.888888888888889	415	6696	ALL	6696	ALL	6696	4	ALL	6696	13703	ALL	6696	ALL
4193	MDM2	Q00987	MDM2 proto-oncogene, E3 ubiquitin protein ligase	Cell Cycle; Cellular responses to stress; Immune System; Neuronal System; Signal Transduction	ligase; nucleic acid binding	0.381341108888072	0.851851851851852	409	4193	ALL	4193	ALL	4193	31	ALL	4193	12435	ALL	4193	ALL
5294	PIK3CG	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma	Hemostasis; Metabolism; Signal Transduction	transferase; kinase	0.383391503372927	0.888888888888889	405	5294	ALL	5294	ALL	5294	16	ALL	5294	14098	ALL	5294	ALL
7248	TSC1	Q92574	tuberous sclerosis 1	Cellular responses to stress; Gene Expression; Signal Transduction	null	0.377356657614239	0.851851851851852	405	7248	ALL	7248	ALL	7248	45	ALL	7248	13076	ALL	7248	ALL
5111	PCNA	P12004	proliferating cell nuclear antigen	Cell Cycle; DNA Repair; DNA Replication; Metabolism of proteins	nucleic acid binding	0.38047447822542	0.851851851851852	399	5111	ALL	5111	ALL	5111	25	ALL	5111	13627	ALL	5111	ALL
3605	IL17A	Q16552	interleukin 17A	null	signaling molecule	0.386696690903369	0.925925925925926	397	3605	ALL	3605	ALL	3605	37	ALL	3605	14055	ALL	3605	ALL
3952	LEP	P41159	leptin	Developmental Biology; Metabolism of proteins; Signal Transduction	null	0.395944479703431	0.851851851851852	396	3952	ALL	3952	ALL	3952	41	ALL	3952	14188	ALL	3952	ALL
5293	PIK3CD	O00329	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta	Hemostasis; Immune System; Metabolism; Signal Transduction	transferase; kinase	0.384581387522407	0.888888888888889	390	5293	ALL	5293	ALL	5293	14	ALL	5293	13932	ALL	5293	ALL
2335	FN1	P02751	fibronectin 1	Developmental Biology; Extracellular matrix organization; Hemostasis; Immune System; Signal Transduction	signaling molecule	0.386391883279793	0.888888888888889	389	2335	ALL	2335	ALL	2335	6	ALL	2335	13881	ALL	2335	ALL
4312	MMP1	P03956	matrix metallopeptidase 1 (interstitial collagenase)	Extracellular matrix organization; Hemostasis; Metabolism of proteins	null	0.39169792908309	0.888888888888889	389	4312	ALL	4312	ALL	4312	37	ALL	4312	13648	ALL	4312	ALL
1312	COMT	P21964	catechol-O-methyltransferase	Metabolism; Neuronal System	transferase	0.402477246848302	0.888888888888889	388	1312	ALL	1312	ALL	1312	87	ALL	1312	13824	ALL	1312	ALL
472	ATM	Q13315	ATM serine/threonine kinase	Cell Cycle; Cellular responses to stress; DNA Repair	transferase; kinase; nucleic acid binding	0.388544354161364	0.888888888888889	385	472	ALL	472	ALL	472	203	ALL	472	13816	ALL	472	ALL
960	CD44	P16070	CD44 molecule (Indian blood group)	Extracellular matrix organization; Hemostasis; Immune System; Metabolism	null	0.387002385886634	0.888888888888889	385	960	ALL	960	ALL	960	4	ALL	960	13602	ALL	960	ALL
4513	COX2	P00403	cytochrome c oxidase subunit II	Gene Expression; Metabolism	oxidoreductase	0.389480522198025	0.888888888888889	385	4513	ALL	4513	ALL	4513	5	ALL	4513	13856	ALL	4513	ALL
355	FAS	P25445	Fas cell surface death receptor	Signal Transduction	receptor	0.392340170550557	0.888888888888889	383	355	ALL	355	ALL	355	22	ALL	355	14133	ALL	355	ALL
5291	PIK3CB	P42338	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta	Cell-Cell communication; Hemostasis; Immune System; Metabolism; Signal Transduction	transferase; kinase	0.387002385886634	0.888888888888889	383	5291	ALL	5291	ALL	5291	12	ALL	5291	13886	ALL	5291	ALL
5594	MAPK1	P28482	mitogen-activated protein kinase 1	Cell Cycle; Cellular responses to stress; Developmental Biology; Hemostasis; Immune System; Neuronal System; Signal Transduction	transferase; kinase	0.390425111649434	0.925925925925926	376	5594	ALL	5594	ALL	5594	17	ALL	5594	14268	ALL	5594	ALL
1493	CTLA4	P16410	cytotoxic T-lymphocyte-associated protein 4	Immune System	signaling molecule	0.392340170550557	0.888888888888889	376	1493	ALL	1493	ALL	1493	43	ALL	1493	13294	ALL	1493	ALL
5443	POMC	P01189	proopiomelanocortin	Metabolism; Metabolism of proteins; Signal Transduction	signaling molecule	0.402123094227301	0.851851851851852	374	5443	ALL	5443	ALL	5443	20	ALL	5443	12885	ALL	5443	ALL
6532	SLC6A4	P31645	solute carrier family 6 (neurotransmitter transporter), member 4	null	transporter	0.410970948726496	0.851851851851852	374	6532	ALL	6532	ALL	6532	51	ALL	6532	12976	ALL	6532	ALL
3815	KIT	P10721	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	Developmental Biology; Immune System; Signal Transduction	null	0.387616458704448	0.777777777777778	370	3815	ALL	3815	ALL	3815	41	ALL	3815	12123	ALL	3815	ALL
2153	F5	P12259	coagulation factor V (proaccelerin, labile factor)	Hemostasis; Metabolism of proteins; Vesicle-mediated transport	cell adhesion molecule; transfer/carrier protein; transporter; protease; enzyme modulator; oxidoreductase; hydrolase; signali...	0.413698534615352	0.851851851851852	358	2153	ALL	2153	ALL	2153	26	ALL	2153	12731	ALL	2153	ALL
1906	EDN1	P05305	endothelin 1	Signal Transduction	signaling molecule	0.406822949171662	0.814814814814815	356	1906	ALL	1906	ALL	1906	8	ALL	1906	13581	ALL	1906	ALL
672	BRCA1	P38398	breast cancer 1, early onset	Cell Cycle; DNA Repair; Metabolism of proteins	ligase	0.396949330937034	0.888888888888889	353	672	ALL	672	ALL	672	1134	ALL	672	13646	ALL	672	ALL
7421	VDR	P11473	vitamin D (1,25- dihydroxyvitamin D3) receptor	Gene Expression	transcription factor; receptor; nucleic acid binding	0.402123094227301	0.851851851851852	352	7421	ALL	7421	ALL	7421	20	ALL	7421	13864	ALL	7421	ALL
7015	TERT	O14746	telomerase reverse transcriptase	Cell Cycle; Signal Transduction	nucleic acid binding	0.393636559270762	0.814814814814815	351	7015	ALL	7015	ALL	7015	107	ALL	7015	13782	ALL	7015	ALL
324	APC	P25054	adenomatous polyposis coli	Programmed Cell Death; Signal Transduction	null	0.397286429629719	0.851851851851852	351	324	ALL	324	ALL	324	132	ALL	324	12665	ALL	324	ALL
2651	GCNT2	Q8N0V5;Q06430;Q8NFS9	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	null	transferase	0.394290805328596	0.888888888888889	350	2651	ALL	2651	ALL	2651	10	ALL	2651	13723	ALL	2651	ALL
7076	TIMP1	P01033	TIMP metallopeptidase inhibitor 1	Extracellular matrix organization; Hemostasis	enzyme modulator	0.402477246848302	0.814814814814815	350	7076	ALL	7076	ALL	7076	14	ALL	7076	13713	ALL	7076	ALL
7852	CXCR4	P61073	chemokine (C-X-C motif) receptor 4	Signal Transduction	cell adhesion molecule; phosphatase; hydrolase; defense/immunity protein; receptor	0.398988349423547	0.851851851851852	349	7852	ALL	7852	ALL	7852	19	ALL	7852	13377	ALL	7852	ALL
3439	IFNA1	P01562	interferon, alpha 1	Hemostasis; Immune System	signaling molecule	0.395611654852404	0.888888888888889	349	3439	ALL	3439	ALL	3439	1	ALL	3439	13188	ALL	3439	ALL
3481	IGF2	P01344	insulin-like growth factor 2	Hemostasis; Metabolism of proteins; Signal Transduction	signaling molecule	0.400718308692831	0.888888888888889	348	3481	ALL	3481	ALL	3481	7	ALL	3481	13646	ALL	3481	ALL
3162	HMOX1	P09601	heme oxygenase (decycling) 1	Metabolism; Transmembrane transport of small molecules	oxidoreductase	0.410204477056313	0.925925925925926	347	3162	ALL	3162	ALL	3162	5	ALL	3162	14003	ALL	3162	ALL
6387	CXCL12	P48061	chemokine (C-X-C motif) ligand 12	Signal Transduction	null	0.398645751558171	0.851851851851852	345	6387	ALL	6387	ALL	6387	23	ALL	6387	13295	ALL	6387	ALL
6647	SOD1	P00441	superoxide dismutase 1, soluble	Cellular responses to stress; Hemostasis	oxidoreductase	0.414094038482501	1.0	342	6647	ALL	6647	ALL	6647	52	ALL	6647	13766	ALL	6647	ALL
3596	IL13	P35225	interleukin 13	null	null	0.404627618635378	0.888888888888889	342	3596	ALL	3596	ALL	3596	30	ALL	3596	12903	ALL	3596	ALL
836	CASP3	P42574	caspase 3, apoptosis-related cysteine peptidase	Extracellular matrix organization; Programmed Cell Death; Signal Transduction	protease; enzyme modulator; hydrolase	0.402477246848302	0.888888888888889	341	836	ALL	836	ALL	836	10	ALL	836	13650	ALL	836	ALL
2247	FGF2	P09038	fibroblast growth factor 2 (basic)	Developmental Biology; Extracellular matrix organization; Immune System; Signal Transduction	signaling molecule	0.402832597957614	0.888888888888889	341	2247	ALL	2247	ALL	2247	1	ALL	2247	13646	ALL	2247	ALL
4314	MMP3	P08254	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	Extracellular matrix organization; Signal Transduction	null	0.406453858624383	0.851851851851852	341	4314	ALL	4314	ALL	4314	28	ALL	4314	13638	ALL	4314	ALL
6648	SOD2	P04179	superoxide dismutase 2, mitochondrial	Cellular responses to stress	oxidoreductase	0.413304514818736	0.888888888888889	341	6648	ALL	6648	ALL	6648	38	ALL	6648	14281	ALL	6648	ALL
929	CD14	P08571	CD14 molecule	Immune System; Programmed Cell Death	null	0.407938069236396	0.851851851851852	340	929	ALL	929	ALL	929	11	ALL	929	13409	ALL	929	ALL
2475	MTOR	P42345	mechanistic target of rapamycin (serine/threonine kinase)	Cellular responses to stress; Gene Expression; Immune System; Signal Transduction	transferase; kinase; nucleic acid binding	0.402123094227301	0.851851851851852	340	2475	ALL	2475	ALL	2475	3	ALL	2475	14367	ALL	2475	ALL
56955	MEPE	Q9NQ76	matrix extracellular phosphoglycoprotein	null	null	0.396613310962009	0.888888888888889	340	56955	ALL	56955	ALL	56955	17	ALL	56955	13483	ALL	56955	ALL
3447	IFNA13	P01562	interferon, alpha 13	Hemostasis; Immune System	signaling molecule	0.399332068724197	0.888888888888889	338	3447	ALL	3447	ALL	3447	18	ALL	3447	13119	ALL	3447	ALL
1543	CYP1A1	P04798	cytochrome P450, family 1, subfamily A, polypeptide 1	Metabolism	oxidoreductase	0.409823329078528	0.888888888888889	337	1543	ALL	1543	ALL	1543	29	ALL	1543	14494	ALL	1543	ALL
129831	RBM45	Q8IUH3	RNA binding motif protein 45	null	null	0.396278362822856	0.888888888888889	337	129831	ALL	129831	ALL	129831	17	ALL	129831	12900	ALL	129831	ALL
847	CAT	P04040	catalase	Cellular responses to stress; Metabolism	oxidoreductase	0.403905924024155	0.962962962962963	335	847	ALL	847	ALL	847	7	ALL	847	13823	ALL	847	ALL
947	CD34	P28906	CD34 molecule	Immune System	null	0.400022901167202	0.851851851851852	335	947	ALL	947	ALL	947	6	ALL	947	13485	ALL	947	ALL
2147	F2	P00734	coagulation factor II (thrombin)	Hemostasis; Metabolism of proteins; Signal Transduction	protease; hydrolase	0.420633499246663	0.925925925925926	335	2147	ALL	2147	ALL	2147	27	ALL	2147	12112	ALL	2147	ALL
6520	SLC3A2	P08195	solute carrier family 3 (amino acid transporter heavy chain), member 2	Hemostasis; Transmembrane transport of small molecules	hydrolase	0.397624613988345	0.888888888888889	333	6520	ALL	6520	ALL	6520	4	ALL	6520	12782	ALL	6520	ALL
5972	REN	P00797	renin	Metabolism of proteins	protease; hydrolase	0.409443559577453	0.851851851851852	331	5972	ALL	5972	ALL	5972	15	ALL	5972	13344	ALL	5972	ALL
27306	HPGDS	O60760	hematopoietic prostaglandin D synthase	Metabolism	null	0.400022901167202	0.888888888888889	331	27306	ALL	27306	ALL	27306	26	ALL	27306	14169	ALL	27306	ALL
7515	XRCC1	P18887	X-ray repair complementing defective repair in Chinese hamster cells 1	DNA Repair	null	0.406453858624383	0.888888888888889	326	7515	ALL	7515	ALL	7515	77	ALL	7515	14197	ALL	7515	ALL
2908	NR3C1	P04150	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	Circadian Clock; Gene Expression	transcription factor; receptor; nucleic acid binding	0.416498864637765	0.851851851851852	322	2908	ALL	2908	ALL	2908	17	ALL	2908	13658	ALL	2908	ALL
142	PARP1	P09874	poly (ADP-ribose) polymerase 1	DNA Repair; Gene Expression; Metabolism of proteins; Signal Transduction	transferase; ligase; nucleic acid binding	0.406822949171662	0.962962962962963	320	142	ALL	142	ALL	142	25	ALL	142	13721	ALL	142	ALL
1026	CDKN1A	P38936	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	Cell Cycle; Cellular responses to stress; DNA Replication; Immune System; Signal Transduction	enzyme modulator	0.406822949171662	0.777777777777778	320	1026	ALL	1026	ALL	1026	4	ALL	1026	13265	ALL	1026	ALL
1565	CYP2D6	P10635	cytochrome P450, family 2, subfamily D, polypeptide 6	Metabolism	null	0.428059064434113	0.851851851851852	316	1565	ALL	1565	ALL	1565	17	ALL	1565	14286	ALL	1565	ALL
3126	HLA-DRB4	P13762	major histocompatibility complex, class II, DR beta 4	Immune System	defense/immunity protein	0.404627618635378	1.0	316	3126	ALL	3126	ALL	3126	10	ALL	3126	12937	ALL	3126	ALL
